pygame 2.6.0 (SDL 2.28.4, Python 3.12.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
100
100
         12397737 function calls (12376331 primitive calls) in 13.219 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1090    0.001    0.000    0.002    0.000 __init__.py:2105(dist_factory)
        7    0.001    0.000    0.002    0.000 _builtins.py:148(register_all)
      454    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      262    0.001    0.000    0.006    0.000 overrides.py:142(decorator)
1124/1097    0.001    0.000    0.001    0.000 typing.py:1591(__hash__)
     1748    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      139    0.001    0.000    0.002    0.000 {built-in method _io.open}
     2123    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1235    0.001    0.000    0.002    0.000 __init__.py:82(find_spec)
     2111    0.001    0.000    0.006    0.000 typing.py:730(<genexpr>)
       13    0.001    0.000    0.005    0.000 enum.py:919(_convert_)
      221    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
    10440    0.001    0.000    0.001    0.000 _ops.py:751(name)
   649/30    0.001    0.000    0.171    0.006 {built-in method builtins.__import__}
        1    0.001    0.001    0.002    0.002 sslproto.py:1(<module>)
     1626    0.001    0.000    0.001    0.000 functools.py:65(wraps)
       93    0.001    0.000    0.001    0.000 contextlib.py:272(contextmanager)
     2160    0.001    0.000    0.001    0.000 {built-in method posix._path_normpath}
     1230    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     1004    0.001    0.000    0.003    0.000 _builtins.py:182(_register_builtin)
     2301    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      591    0.001    0.000    0.011    0.000 typing.py:1476(copy_with)
      234    0.001    0.000    0.001    0.000 pathlib.py:387(_parse_path)
     4259    0.001    0.000    0.001    0.000 inspect.py:955(<genexpr>)
 1007/743    0.001    0.000    0.003    0.000 _pytree.py:778(_tree_flatten_helper)
     1334    0.001    0.000    0.001    0.000 tokenize.py:569(_generate_tokens_from_c_tokenizer)
      817    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      816    0.001    0.000    0.001    0.000 parameter.py:8(__instancecheck__)
      227    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
      408    0.001    0.000    0.001    0.000 {built-in method torch._C._log_api_usage_once}
        1    0.001    0.001    0.001    0.001 _iotools.py:450(StringConverter)
     2132    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:632(cached)
     1047    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      521    0.001    0.000    0.072    0.000 __init__.py:173(decomposition_decorator)
      282    0.001    0.000    0.001    0.000 dataclasses.py:760(_get_field)
     3265    0.001    0.000    0.001    0.000 inspect.py:296(isclass)
     1408    0.001    0.000    0.004    0.000 random.py:332(randint)
       22    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
       26    0.001    0.000    0.002    0.000 inspect.py:1233(getblock)
      206    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      910    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     3363    0.001    0.000    0.001    0.000 inspect.py:952(<genexpr>)
      136    0.001    0.000    0.031    0.000 main.py:18(__init__)
      234    0.001    0.000    0.007    0.000 __init__.py:2617(from_location)
     3109    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     4824    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:158(__init__)
      468    0.001    0.000    0.010    0.000 __init__.py:2156(distributions_from_metadata)
      313    0.001    0.000    0.003    0.000 function_base.py:502(add_newdoc)
     1196    0.001    0.000    0.001    0.000 inspect.py:905(getfile)
        3    0.001    0.000    0.002    0.001 common.py:1(<module>)
     1231    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._autograd_init}
      544    0.001    0.000    0.001    0.000 init.py:315(_calculate_fan_in_and_fan_out)
     1029    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     1002    0.001    0.000    0.001    0.000 sprite.py:628(__len__)
     2720    0.001    0.000    0.001    0.000 typing.py:1583(__eq__)
     1196    0.001    0.000    0.002    0.000 package_importer.py:694(_patched_getfile)
      238    0.001    0.000    0.001    0.000 version.py:503(_cmpkey)
      672    0.001    0.000    0.002    0.000 random.py:341(choice)
       87    0.001    0.000    0.010    0.000 dataclasses.py:568(_init_fn)
      552    0.001    0.000    0.001    0.000 grad_mode.py:74(__init__)
     3035    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1088    0.001    0.000    0.001    0.000 grad_mode.py:183(__init__)
      234    0.001    0.000    0.001    0.000 __init__.py:710(add)
     1102    0.001    0.000    0.001    0.000 _pytree.py:590(_is_namedtuple_instance)
      454    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
        1    0.001    0.001    0.001    0.001 profiler_legacy.py:26(profile)
      279    0.001    0.000    0.012    0.000 typing.py:747(Optional)
     1252    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
     3677    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
     2571    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     3071    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      136    0.001    0.000    0.001    0.000 config.py:34(generate_id)
     1231    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
     1651    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     4973    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
     2313    0.001    0.000    0.001    0.000 enum.py:1129(__new__)
      100    0.000    0.000    0.006    0.000 __init__.py:500(_make_inplace)
      238    0.000    0.000    0.001    0.000 version.py:232(__str__)
      137    0.000    0.000    0.001    0.000 typing.py:1114(_generic_init_subclass)
      272    0.000    0.000    0.002    0.000 init.py:13(_no_grad_uniform_)
     2554    0.000    0.000    0.001    0.000 inspect.py:292(ismodule)
  905/626    0.000    0.000    0.027    0.000 typing.py:515(__getitem__)
     1924    0.000    0.000    0.000    0.000 typing.py:1617(<genexpr>)
     4224    0.000    0.000    0.000    0.000 {built-in method _operator.index}
     2624    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      182    0.000    0.000    0.006    0.000 typing.py:1566(__getitem__)
      544    0.000    0.000    0.001    0.000 grad_mode.py:79(__enter__)
     2086    0.000    0.000    0.001    0.000 inspect.py:3066(<genexpr>)
      272    0.000    0.000    0.001    0.000 init.py:68(calculate_gain)
     1589    0.000    0.000    0.001    0.000 _parser.py:176(append)
      915    0.000    0.000    0.001    0.000 typing.py:2330(get_origin)
      745    0.000    0.000    0.020    0.000 inspect.py:3071(from_callable)
      436    0.000    0.000    0.002    0.000 main.py:119(draw_self)
     3396    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
     1088    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C.TensorBase' objects}
      745    0.000    0.000    0.020    0.000 inspect.py:3333(signature)
     2509    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      155    0.000    0.000    0.001    0.000 typing.py:1627(__hash__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1645(_guarded_repr_or_str)
        1    0.000    0.000    0.016    0.016 __init__.py:68(bootstrap)
     1111    0.000    0.000    0.003    0.000 <frozen genericpath>:16(exists)
      366    0.000    0.000    0.001    0.000 <frozen posixpath>:179(dirname)
      607    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      648    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
     2525    0.000    0.000    0.001    0.000 _parser.py:256(match)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._rpc_init}
      220    0.000    0.000    0.003    0.000 textwrap.py:419(dedent)
       41    0.000    0.000    0.001    0.000 __init__.py:1465(_clear_cache)
      970    0.000    0.000    0.003    0.000 typing.py:1472(<genexpr>)
     1172    0.000    0.000    0.000    0.000 {built-in method torch._C._add_docstr}
       80    0.000    0.000    0.002    0.000 typing.py:1065(_generic_class_getitem)
     1959    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      876    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
     1235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
     1102    0.000    0.000    0.001    0.000 _pytree.py:601(_get_node_type)
      678    0.000    0.000    0.003    0.000 __init__.py:179(sub)
      136    0.000    0.000    0.001    0.000 random.py:454(choices)
   132/94    0.000    0.000    0.000    0.000 fake_impls.py:110(contains_tensor_types)
     3411    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      822    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     1028    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
     1606    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       97    0.000    0.000    0.002    0.000 _compiler.py:511(_compile_info)
     1007    0.000    0.000    0.001    0.000 _pytree.py:608(_is_leaf)
     1235    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     2084    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
     1250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       88    0.000    0.000    0.031    0.000 _pytree.py:161(register_pytree_node)
      194    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
     1441    0.000    0.000    0.001    0.000 __init__.py:447(_make)
